district,location,season,planting_date,planting_month,field_size_ha,first_fert_date,second_fert_date,soil_type,soil_condition,soil_ph,soil_nitrogen_n,soil_phosphorus_p,soil_potassium_k,soil_fertility_index,n_status_class,p_status_class,k_status_class,seed_variety,irrigation_type,rainfall_condition,rainfall_30d_mm,seasonal_rainfall_mm,avg_temperature_c,max_temperature_c,avg_humidity_pct,sunshine_hours,yield_t_ha
Badulla,Rideemaliyadda,Yala,3/6/2022,3,2.19,4/5/2022,5/9/2022,Alluvial,Good,6.07,106.21,26.9,122.299,0.871,High,High,High,Local Variety,Irrigated,High,186.358,786.184,29.196,31.901,63.395,9.003,5.8124
Ampara,Padiyathalawa,Yala,3/6/2022,3,1.66,3/31/2022,4/23/2022,RBE,Good,6.92,104.527,19.298,135.198,0.682,High,High,Medium,Jet 999,Rainfed,Normal,253.721,614.806,30.396,34.103,62.802,6.904,5.3232
Matale,Pelwehera,Yala,3/6/2022,3,1.86,3/28/2022,4/20/2022,RBE,Good,6.169,102.599,16.908,147.202,0.639,High,Medium,Medium,Jet 999,Rainfed,High,447.343,595.593,26.998,30.218,84.806,8.503,4.222
Matale,Pelwehera,Yala,3/7/2022,3,1.74,3/29/2022,5/1/2022,RBE,Good,6.198,108.806,16.293,144.369,0.711,High,Medium,Medium,Jet 999,Rainfed,High,479.194,561.304,27.297,29.702,82.796,8.399,4.4519
Ampara,Dehiattakandiya,Yala,3/7/2022,3,2.11,3/25/2022,4/27/2022,RYP,Poor,6.689,117.693,20.458,114.707,0.701,High,Medium,Medium,GT 200,Rainfed,Normal,163.436,599.201,25.201,28.696,71.698,7.502,5.7372
Ampara,Padiyathalawa,Yala,3/8/2022,3,1.6,4/7/2022,5/2/2022,RBE,Good,6.651,113.292,19.278,162.899,0.73,High,Medium,Medium,Jet 999,Rainfed,Normal,302.192,746.497,31.301,36.53,59.995,7.4,5.4221
Ampara,Padiyathalawa,Yala,3/8/2022,3,1.57,3/24/2022,4/15/2022,RBE,Medium,6.8,109.603,20.1,145.388,0.848,High,High,High,Jet 999,Rainfed,High,263.692,699.903,31.048,35.6,64.301,6.595,5.4183
Ampara,Padiyathalawa,Yala,3/9/2022,3,1.33,3/27/2022,5/6/2022,RYP,Medium,5.48,56.105,7.4,259.299,0.56,Medium,Low,High,Jet 999,Rainfed,Normal,339.092,553.906,28.848,29.399,74.106,8.004,4.3256
Anuradhapura,Horowpathana,Yala,3/9/2022,3,1.42,3/26/2022,4/25/2022,RYP,Poor,6.73,54.691,5.29,121.297,0.42,Medium,Low,Medium,Local Variety,Rainfed,High,297.594,804.06,30.001,34.402,69.099,7.515,3.292
Badulla,Mahiyanganaya,Yala,3/9/2022,3,1.52,3/29/2022,4/26/2022,RBE,Good,5.977,66.994,5.699,105.498,0.328,Medium,Low,Medium,GT 709,Rainfed,High,310.206,572.701,30.537,33.901,66.706,7.895,4.8988
Monaragala,Siyambalanduwa,Yala,3/10/2022,3,1.2,4/2/2022,5/4/2022,RBE,Good,6.06,41.591,22.398,139.195,0.383,Low,High,Medium,GT 200,Mixed,Low,272.91,745.6,31.173,37.304,63.299,5.897,5.9922
Anuradhapura,Nochchiyagama,Yala,3/10/2022,3,0.79,4/1/2022,4/29/2022,RBE,Poor,6.261,26.901,18.175,95.507,0.491,Low,Medium,Medium,GT 200,Mixed,Normal,396.398,699.206,29.403,33.198,75.096,7.074,2.6588
Anuradhapura,Horowpathana,Yala,3/12/2022,3,1.89,4/4/2022,5/8/2022,RBE,Medium,6.262,29.3,17.493,258.209,0.56,Low,Medium,High,Jet 999,Rainfed,Normal,224.603,544.407,27.398,30.322,60.084,8.901,3.3193
Ampara,Dehiattakandiya,Yala,3/12/2022,3,2.13,4/5/2022,5/12/2022,RBE,Good,6.1,101.208,4.012,256.805,0.602,High,Low,High,GT 709,Rainfed,Low,367.199,574.679,28.497,32.697,78.898,6.103,6.3744
Monaragala,Thanamalwila,Yala,3/12/2022,3,1.674,3/27/2022,4/20/2022,RYP,Medium,6.316,86.625,8.973,208.659,0.644,Medium,Low,High,Local Variety,Irrigated,Low,244.562,671.678,26.847,31.688,69.316,6.742,4.4588
Ampara,Padiyathalawa,Yala,3/12/2022,3,1.3,4/8/2022,4/28/2022,RYP,Good,5.611,70.474,9.794,269.305,0.609,Medium,Low,High,Jet 999,Rainfed,Normal,324.208,520.996,26.934,30.6,70.305,7.794,4.23
Anuradhapura,Nochchiyagama,Yala,3/12/2022,3,0.81,4/8/2022,5/2/2022,RBE,Medium,6.368,29.796,18.003,86.876,0.489,Low,Medium,Low,GT 200,Mixed,Normal,392.498,605.298,29.502,33.798,75.702,6.4,2.7944
Monaragala,Thanamalwila,Yala,3/12/2022,3,1.79,4/3/2022,4/24/2022,RBE,Good,6.132,40.998,19.103,242.494,0.6,Low,Medium,High,GT 709,Rainfed,High,402.074,500.099,25.702,28.644,77.305,8.895,4.3252
Monaragala,Wellawaya,Yala,3/13/2022,3,2.5,4/2/2022,4/18/2022,RBE,Poor,6.159,111.599,4.308,61.195,0.5,High,Low,Low,Local Variety,Irrigated,Low,384.427,580.499,25.198,29.398,79.395,8.497,4.61
Ampara,Dehiattakandiya,Yala,3/13/2022,3,1.88,4/2/2022,5/9/2022,RBE,Medium,6.626,62.092,7.892,174.892,0.55,Medium,Low,Medium,Pacific 808,Rainfed,Low,142.007,873.801,25.796,32.2,80.256,8.194,4.9702
Monaragala,Thanamalwila,Yala,3/13/2022,3,2.46,4/6/2022,4/27/2022,RBE,Good,6.779,71.801,15.09,196.005,0.589,Medium,Medium,Medium,Jet 999,Mixed,High,462.594,506.303,29.203,32.523,77.196,8.605,4.6386
Anuradhapura,Kahatagasdigiliya,Yala,3/13/2022,3,0.77,4/5/2022,4/30/2022,RYP,Medium,6.343,53.49,25.098,102.604,0.66,Medium,High,Medium,Pacific 808,Mixed,High,315.41,592,30.499,35.342,65.603,6.201,3.9773
Anuradhapura,Tambuttegama,Yala,3/14/2022,3,1.39,4/13/2022,4/26/2022,RBE,Good,5.821,98.094,5.804,199.393,0.544,High,Low,Medium,GT 200,Rainfed,High,173.503,735.894,30.653,34.402,60.801,5.504,5.6273
Anuradhapura,Kahatagasdigiliya,Yala,3/14/2022,3,1.25,4/9/2022,5/7/2022,RYP,Poor,6.371,100.609,16.806,150.61,0.701,High,Medium,Medium,GT 709,Rainfed,Normal,161.196,586.107,25.201,29.003,61.601,4.955,5.4271
Monaragala,Wellawaya,Yala,3/14/2022,3,2.46,4/7/2022,4/25/2022,RBE,Medium,6.4,111.486,4.002,72.891,0.589,High,Low,Low,Local Variety,Irrigated,Normal,372.005,724.097,24.397,31.102,84.297,8.395,5.0523
Ampara,Padiyathalawa,Yala,3/14/2022,3,2.74,4/2/2022,5/5/2022,RBE,Medium,6.35,31.892,1.008,260.491,0.497,Low,Low,High,Commando,Mixed,Normal,318.901,596.008,32.274,35.802,71.798,6.099,4.8139
Badulla,Mahiyanganaya,Yala,3/14/2022,3,2.52,4/8/2022,5/15/2022,RYP,Good,6.481,57.139,9.408,90.996,0.539,Medium,Low,Low,GT 200,Rainfed,Normal,269.501,702.294,31.896,37.703,68.499,5.203,5.1338
Anuradhapura,Eppawala,Yala,3/14/2022,3,2.17,4/6/2022,5/9/2022,RBE,Good,6.362,46.307,23.791,94.607,0.501,Low,High,Low,GT 709,Irrigated,Normal,166.207,721.201,25.803,28.636,74.4,6.709,4.4643
Ampara,Maha Oya,Yala,3/14/2022,3,2.39,4/4/2022,4/30/2022,RYP,Good,6.018,50.404,19.794,204.61,0.592,Medium,Medium,High,GT 709,Irrigated,Normal,307.704,676.401,28.698,31.402,67.223,8.9,4.732
Monaragala,Wellawaya,Yala,3/15/2022,3,1.53,4/4/2022,5/8/2022,RBE,Medium,6.561,53.305,9.49,142.797,0.5,Medium,Low,Medium,Jet 999,Irrigated,Normal,378.198,654.9,26.899,32.005,67.899,5.084,4.5199
Anuradhapura,Tambuttegama,Yala,3/15/2022,3,1.94,4/6/2022,5/6/2022,RBE,Good,6.299,92.406,11.307,121.896,0.522,High,Medium,Medium,GT 200,Irrigated,Normal,236.098,567.897,26.798,29,67.927,6.799,5.2095
Monaragala,Wellawaya,Yala,3/15/2022,3,2.65,3/30/2022,5/17/2022,Low Humic Gleys,Medium,6.229,116.893,2.799,83.358,0.449,High,Low,Low,Local Variety,Rainfed,Normal,212.495,552.003,29.899,34.185,61.202,5.105,4.56
Monaragala,Wellawaya,Yala,3/15/2022,3,2.58,4/10/2022,4/28/2022,RBE,Medium,5.99,105.304,6.106,64.902,0.571,High,Low,Low,Local Variety,Irrigated,High,437.605,680.391,24.901,27.597,79.229,8.87,4.9262
Anuradhapura,Eppawala,Yala,3/15/2022,3,2.31,4/12/2022,5/10/2022,RBE,Good,6.709,70.597,9.806,286.995,0.622,Medium,Low,High,Local Variety,Rainfed,High,479.695,502.502,27.424,31.197,85.9,8.305,4.6746
Monaragala,Thanamalwila,Yala,3/15/2022,3,2.81,4/3/2022,4/22/2022,RBE,Poor,6.12,103.58,9.09,249.005,0.601,High,Low,High,Pacific 808,Irrigated,Low,255.301,665.495,29.802,32.958,78.201,5.195,6.5934
Anuradhapura,Kahatagasdigiliya,Yala,3/15/2022,3,1.664,4/12/2022,4/28/2022,RBE,Poor,5.91,84.506,30.354,209.205,0.802,Medium,High,High,Local Variety,Rainfed,Normal,306.102,661.208,27.101,29.798,68.404,7.477,4.2912
Ampara,Dehiattakandiya,Yala,3/15/2022,3,1.88,3/30/2022,5/1/2022,RBE,Good,6.439,61.592,9.942,168.998,0.49,Medium,Low,Medium,Pacific 808,Rainfed,Low,190.677,756.393,26.104,31.901,77.695,8.195,4.7909
Ampara,Dehiattakandiya,Yala,3/15/2022,3,2.14,4/6/2022,5/2/2022,RBE,Good,6.009,101.209,3.898,246.192,0.668,High,Low,High,GT 709,Rainfed,Normal,374.579,552.091,28.301,31.404,79.399,6.398,6.5585
Ampara,Maha Oya,Yala,3/15/2022,3,2.57,4/9/2022,5/10/2022,RYP,Poor,6.329,99.054,12.998,267.891,0.68,High,Medium,High,Jet 999,Rainfed,High,380.907,548.4,29.604,34.4,65.378,8.004,6.3921
Ampara,Padiyathalawa,Yala,3/15/2022,3,2.75,4/1/2022,4/23/2022,RBE,Poor,6.414,32.092,2.195,235.803,0.458,Low,Low,High,Commando,Mixed,Low,303.7,657.901,31.5,35.863,70.601,6.599,4.7689
Anuradhapura,Tambuttegama,Yala,3/16/2022,3,1.68,4/13/2022,5/5/2022,RBE,Poor,6.399,75.197,20.904,205.004,0.671,Medium,High,High,Jet 999,Mixed,Low,130.9,680.2,27.041,29,70.295,7.599,4.5043
Anuradhapura,Tambuttegama,Yala,3/16/2022,3,1.32,4/10/2022,5/14/2022,RBE,Good,6.628,67.594,21.708,201.603,0.658,Medium,High,High,Jet 999,Mixed,Low,137.579,749.392,26.597,28.7,70.798,7.101,4.5665
Badulla,Rideemaliyadda,Yala,3/16/2022,3,1.88,4/7/2022,5/2/2022,RBE,Medium,5.898,42.592,11.537,112.305,0.479,Low,Medium,Low,GT 709,Mixed,Normal,217.901,777.744,25.003,29.703,71.994,6.304,3.3176
Ampara,Padiyathalawa,Yala,3/17/2022,3,1.46,4/13/2022,5/10/2022,RBE,Good,6.419,96.184,21.162,305.01,0.726,High,High,High,Jet 999,Irrigated,Low,228.07,753.191,27.255,30.736,70.419,7.8,5.4379
Anuradhapura,Nochchiyagama,Yala,3/17/2022,3,1.93,4/9/2022,4/27/2022,RYP,Good,5.872,100.391,8.492,200.478,0.6,High,Low,High,Pacific 808,Rainfed,Low,193.991,673.294,27.362,31.298,68.099,8.605,5.4826
Monaragala,Wellawaya,Yala,3/17/2022,3,1.23,4/9/2022,5/12/2022,RBE,Good,6.062,67.944,15.495,103.692,0.48,Medium,Medium,Medium,Commando,Irrigated,High,453.404,786.094,28.409,31.803,63.199,6.497,4.1537
Anuradhapura,Eppawala,Yala,3/18/2022,3,0.87,4/15/2022,5/13/2022,RBE,Good,5.888,101.301,17.816,79.7,0.619,High,Medium,Low,Jet 999,Mixed,Low,159.19,772.202,26.402,31.896,68.803,8.81,5.9814
Anuradhapura,Tambuttegama,Yala,3/18/2022,3,1.35,4/16/2022,5/4/2022,RBE,Good,6.419,100.591,7.406,244.107,0.629,High,Low,High,GT 709,Rainfed,Normal,266.11,792.808,26.498,29.403,74.602,7.598,4.4725
Monaragala,Siyambalanduwa,Yala,3/18/2022,3,1,4/13/2022,5/6/2022,RYP,Good,6.531,62.304,17.984,103.906,0.479,Medium,Medium,Medium,Pacific 808,Irrigated,Low,177.094,779.46,31,36.101,64.296,6.601,6.5011
Badulla,Rideemaliyadda,Yala,3/19/2022,3,1.86,4/13/2022,5/4/2022,RBE,Good,5.961,45.303,11.597,111.898,0.379,Low,Medium,Medium,GT 709,Mixed,Low,186.154,772.394,25.303,29.084,70.798,6.7,3.0706
Badulla,Mahiyanganaya,Yala,3/20/2022,3,1.22,4/15/2022,5/20/2022,RBE,Good,6.422,102.097,15.228,249.706,0.759,High,Medium,High,Commando,Mixed,Normal,221.293,535.092,28.299,34.298,72.799,5.1,5.9914
Anuradhapura,Eppawala,Yala,3/20/2022,3,2.03,4/14/2022,5/4/2022,RYP,Medium,5.59,96.707,29.608,70.094,0.679,High,High,Low,Commando,Rainfed,High,274.272,557.708,26.999,30.702,77.503,8.762,5.3899
Monaragala,Buttala,Yala,3/21/2022,3,2.813,4/17/2022,5/5/2022,RBE,Poor,6.053,26.724,12.255,166.665,0.429,Low,Medium,Medium,GT 709,Mixed,Normal,268.773,792.717,27.31,32.39,73.712,9.062,4.1541
Monaragala,Siyambalanduwa,Yala,3/21/2022,3,1.97,4/5/2022,5/3/2022,RBE,Good,6.09,117.306,6.294,97.992,0.571,High,Low,Low,Commando,Rainfed,Low,165.199,551.538,25.432,29.101,71.495,9.199,5.6338
Ampara,Maha Oya,Yala,3/21/2022,3,2.065,4/20/2022,5/16/2022,RBE,Poor,6.079,103.306,19.413,187.795,0.769,High,Medium,Medium,Jet 999,Rainfed,Low,242.9,656.299,27.899,32.901,72.498,6.82,6.2407
Ampara,Dehiattakandiya,Yala,3/21/2022,3,2.37,4/16/2022,5/8/2022,RYP,Good,6.599,106.982,5.606,188.908,0.622,High,Low,Medium,Pacific 808,Rainfed,Normal,221.709,608.608,26.401,32.303,71.999,6.801,5.8714
Badulla,Mahiyanganaya,Yala,3/22/2022,3,1.17,4/8/2022,5/2/2022,RBE,Poor,6.44,99.726,17.404,236.701,0.699,High,Medium,High,Commando,Mixed,Low,243.391,573.109,28.497,33.502,71.546,5.394,6.1362
Monaragala,Siyambalanduwa,Yala,3/22/2022,3,0.73,4/16/2022,5/18/2022,RYP,Medium,5.839,109.303,9.293,170.623,0.6,High,Low,Medium,Local Variety,Rainfed,Low,192.194,622.759,29.499,32.801,61.196,8.896,4.1423
Monaragala,Buttala,Yala,3/22/2022,3,1.19,4/9/2022,5/19/2022,RBE,Medium,6.061,67.798,12.161,246.705,0.489,Medium,Medium,High,Jet 999,Rainfed,Normal,245.702,750.191,29.503,33.201,69.208,9.197,5.942
Monaragala,Thanamalwila,Yala,3/23/2022,3,0.73,4/7/2022,4/29/2022,Immature Brown Loams,Poor,6.57,100.792,12.393,75.19,0.534,High,Medium,Low,Pacific 808,Rainfed,Normal,387.994,771.502,28.596,34.101,81.395,9.099,5.3272
Anuradhapura,Kahatagasdigiliya,Yala,3/26/2022,3,2.365,4/24/2022,5/23/2022,RBE,Medium,5.609,36.291,6.302,180.992,0.331,Low,Low,Medium,Jet 999,Rainfed,Low,295.304,681.21,30.9,34.8,71.035,7.759,4.0139
Ampara,Maha Oya,Yala,3/26/2022,3,1.98,4/16/2022,5/16/2022,RYP,Medium,6.159,70.395,17.41,171.492,0.589,Medium,Medium,Medium,GT 200,Mixed,High,293.794,761.009,29.301,32.5,67.798,7.496,6.3864
Badulla,Mahiyanganaya,Yala,3/26/2022,3,2.53,4/19/2022,5/22/2022,RBE,Medium,6.381,45.996,5.396,131.892,0.479,Low,Low,Medium,GT 709,Irrigated,High,388.292,652.192,27.703,30.902,63.344,6.581,5.0072
Anuradhapura,Eppawala,Yala,3/27/2022,3,1.53,4/26/2022,5/24/2022,RBE,Good,5.94,21.31,14.799,218.596,0.471,Low,Medium,High,Pacific 808,Mixed,Low,192.312,677.296,24.305,27.7,64.404,7.302,3.7819
Matale,Pelwehera,Yala,3/27/2022,3,0.64,4/21/2022,5/25/2022,RYP,Good,6.451,77.793,8.404,294.138,0.63,Medium,Low,High,GT 200,Rainfed,Normal,342.994,723.793,27.598,31.997,64.019,7.497,6.1569
Anuradhapura,Eppawala,Yala,3/27/2022,3,1.7,4/25/2022,5/7/2022,RBE,Medium,6.01,12.709,12.706,231.099,0.512,Low,Medium,High,Pacific 808,Mixed,Low,127.994,674.698,24.101,27.601,62.095,7.21,3.9245
Monaragala,Buttala,Yala,3/27/2022,3,1.88,4/22/2022,5/24/2022,RBE,Medium,7.088,30.709,9.593,269.907,0.538,Low,Low,High,GT 709,Irrigated,Normal,335.093,558.104,26.499,31.402,62.596,6.089,5.0926
Badulla,Mahiyanganaya,Yala,3/28/2022,3,2.44,4/19/2022,5/26/2022,RBE,Medium,6.36,50.8,4.624,122.403,0.45,Medium,Low,Medium,GT 709,Irrigated,High,344.096,681.097,28.403,32.399,63.004,5.901,4.9289
Anuradhapura,Eppawala,Yala,3/28/2022,3,1.73,4/20/2022,5/17/2022,RBE,Medium,6.217,29.004,14.599,207.408,0.549,Low,Medium,High,Pacific 808,Mixed,Low,196.607,714.295,24.804,27.958,66.798,7.601,3.8188
Badulla,Rideemaliyadda,Yala,3/28/2022,3,1.379,4/11/2022,5/6/2022,RYP,Good,6.524,108.887,10.45,255.802,0.716,High,Medium,High,GT 200,Mixed,Normal,342.272,873.574,23.962,26.761,71.365,7.723,4.3984
Monaragala,Siyambalanduwa,Yala,3/30/2022,3,0.5,4/26/2022,5/16/2022,RBE,Good,6.31,106.002,3.471,275.595,0.719,High,Low,High,Commando,Rainfed,Normal,242.997,766.655,25.1,30.204,71.3,4.8,6.497
Monaragala,Wellawaya,Yala,3/30/2022,3,2.84,4/29/2022,5/13/2022,RBE,Good,5.559,95.709,27.194,110.5,0.67,High,High,Low,Pacific 808,Mixed,High,447.097,625.326,28.2,33.399,66.604,7.997,4.2668
Matale,Pelwehera,Yala,3/30/2022,3,0.68,4/21/2022,5/20/2022,RYP,Good,6.343,83.004,8.505,292.291,0.699,Medium,Low,High,GT 200,Rainfed,Normal,350.891,788.6,28.3,32.198,60.5,7.547,6.2685
Monaragala,Siyambalanduwa,Yala,4/1/2022,4,0.61,4/25/2022,5/21/2022,RBE,Medium,6.309,105.655,7.396,268.002,0.59,High,Low,High,Commando,Rainfed,Normal,272.695,754.199,25.796,30.548,71.803,5.097,6.1225
Badulla,Rideemaliyadda,Yala,4/1/2022,4,1.26,4/27/2022,6/6/2022,RBE,Medium,6.379,75.795,1.009,141.698,0.531,Medium,Low,Medium,Jet 999,Irrigated,Low,156.503,774.793,27.603,30.1,64.604,6.402,4.5478
Badulla,Rideemaliyadda,Yala,4/2/2022,4,1.26,4/22/2022,5/21/2022,RBE,Medium,6.351,80.094,2.947,131.607,0.419,High,Low,Medium,Jet 999,Irrigated,Normal,166.108,771.693,27.1,31.502,66.899,5.796,4.3426
Badulla,Mahiyanganaya,Yala,4/2/2022,4,1.26,4/16/2022,5/16/2022,RBE,Medium,6.178,87.591,16.393,115.491,0.641,High,Medium,Low,Jet 999,Rainfed,Normal,407.709,586.3,25.557,27.5,81.902,7.715,3.778
Badulla,Mahiyanganaya,Yala,4/2/2022,4,1.32,4/22/2022,5/18/2022,RBE,Poor,6.21,90.095,13.301,120.909,0.529,High,Medium,Medium,Jet 999,Rainfed,Normal,364.392,533.294,24.24,27.272,80.104,7.596,3.81
Monaragala,Wellawaya,Yala,4/2/2022,4,2.99,4/22/2022,5/27/2022,RBE,Poor,5.546,95.608,27.406,120.104,0.838,High,High,High,Pacific 808,Mixed,Low,382.194,767.709,29.677,33.099,60.303,8.198,4.4131
Matale,Pelwehera,Yala,4/3/2022,4,3.395,4/28/2022,5/25/2022,RYP,Medium,6.365,45.966,12.571,100.558,0.515,Low,Medium,Low,Commando,Mixed,Normal,314.007,742.394,23.81,29.002,76.105,7.527,3.6079
Badulla,Mahiyanganaya,Yala,4/3/2022,4,1.31,4/25/2022,5/24/2022,RBE,Medium,6.259,89.212,16.192,91.391,0.631,High,Medium,Low,Jet 999,Rainfed,Normal,340.495,479.992,25.397,26.996,82.496,7.099,3.8208
Matale,Dambulla,Yala,4/3/2022,4,0.8,5/3/2022,5/24/2022,RBE,Good,6.521,78.288,17.458,272.21,0.72,Medium,Medium,High,Commando,Irrigated,High,420.892,645.794,29.102,31.796,63.199,6.994,6.1402
Badulla,Rideemaliyadda,Yala,4/3/2022,4,1.76,4/28/2022,5/26/2022,RBE,Good,6.23,112.009,17.303,97.603,0.609,High,Medium,Low,Pacific 808,Mixed,Normal,303.702,530.091,25,27.219,66.595,8.886,4.9474
Anuradhapura,Tambuttegama,Yala,4/4/2022,4,0.5,4/28/2022,5/25/2022,RBE,Medium,6.198,75.498,6.291,155.132,0.569,Medium,Low,Medium,Commando,Irrigated,Low,157.992,652.323,30.598,35.898,60.499,9.598,5.8129
Badulla,Mahiyanganaya,Yala,4/4/2022,4,2.41,4/27/2022,6/1/2022,RBE,Medium,6.35,108.108,2.099,177.084,0.579,High,Low,Medium,Pacific 808,Mixed,Normal,276.407,786.8,28.319,32.801,67.603,9.101,4.7464
Matale,Dambulla,Yala,4/5/2022,4,2.91,4/30/2022,5/29/2022,RBE,Medium,6.182,64.002,7.902,186.395,0.439,Medium,Low,Medium,Local Variety,Rainfed,Normal,162.705,514.503,29.704,34.859,74.796,7.205,4.2467
Monaragala,Siyambalanduwa,Yala,4/5/2022,4,0.73,4/21/2022,5/30/2022,RBE,Medium,6.924,71.1,20,107.106,0.501,Medium,High,Medium,Jet 999,Rainfed,Normal,300.506,687.892,31.497,35.597,73.959,6.004,5.6409
Matale,Dambulla,Yala,4/6/2022,4,2.95,4/24/2022,5/23/2022,RBE,Medium,6.528,69.093,7.095,178.095,0.571,Medium,Low,Medium,Local Variety,Rainfed,Low,149.301,600.299,29.257,34.7,77.494,7.506,4.2602
Badulla,Rideemaliyadda,Yala,4/6/2022,4,1.829,4/20/2022,5/18/2022,IBL,Medium,6.219,49.919,11.676,159.981,0.529,Low,Medium,Medium,GT 709,Mixed,Normal,257.873,590.34,24.731,27.93,81.344,6.153,3.9268
Anuradhapura,Nochchiyagama,Yala,4/7/2022,4,2.16,4/23/2022,5/18/2022,RBE,Medium,6.072,89.095,15.507,128.992,0.641,High,Medium,Medium,Local Variety,Rainfed,Normal,383.614,569.302,30.3,33.502,72.205,6.499,5.8397
Badulla,Mahiyanganaya,Yala,4/7/2022,4,2.34,5/7/2022,5/11/2022,RBE,Good,6.239,111.907,2.104,184.964,0.66,High,Low,Medium,Pacific 808,Mixed,Low,213.491,695.695,27.397,32.369,65.604,9.502,5.0993
Anuradhapura,Tambuttegama,Yala,4/7/2022,4,0.74,5/7/2022,6/3/2022,RBE,Medium,6.32,82.001,3.208,142.158,0.339,High,Low,Medium,Commando,Irrigated,Normal,173.998,614.697,30.3,35.7,62.8,9.105,5.2025
Anuradhapura,Nochchiyagama,Yala,4/8/2022,4,2.18,4/30/2022,6/6/2022,RBE,Good,6.34,87.951,16.494,109.095,0.618,High,Medium,Medium,Local Variety,Rainfed,Low,384.096,677.491,31.101,34.89,71.602,7.3,5.8376
Ampara,Maha Oya,Yala,4/9/2022,4,2.389,4/30/2022,5/18/2022,RYP,Good,6.33,110.273,20.122,258.991,0.823,High,Medium,High,Pacific 808,Irrigated,Low,125.731,479.996,29.472,33.989,77.918,7.35,5.1271
Anuradhapura,Horowpathana,Yala,4/10/2022,4,0.56,5/1/2022,6/1/2022,RBE,Good,6.369,124.606,21.306,231.206,0.838,High,High,High,Commando,Mixed,Normal,240.902,689.499,25.397,28.134,70.404,7.978,6.2394
Anuradhapura,Horowpathana,Yala,4/10/2022,4,0.84,4/29/2022,5/30/2022,RBE,Medium,5.916,64.708,17.398,149.904,0.591,Medium,Medium,Medium,Commando,Mixed,Low,186.409,772.364,24.397,28.501,58.895,8.695,4.2292
Badulla,Rideemaliyadda,Yala,4/11/2022,4,0.54,5/3/2022,6/9/2022,RBE,Medium,6.158,79.771,11.398,93.892,0.501,Medium,Medium,Low,Commando,Irrigated,High,175.993,613.91,26.798,30.559,62.395,6.703,5.0013
Anuradhapura,Horowpathana,Yala,4/11/2022,4,1.08,5/1/2022,5/22/2022,RBE,Medium,5.968,59.792,14.597,133.294,0.559,Medium,Medium,Medium,Commando,Mixed,Normal,237.875,686.01,26.103,29.402,59.631,8.194,4.1443
Monaragala,Thanamalwila,Yala,4/12/2022,4,2.29,5/9/2022,6/14/2022,RYP,Poor,6.59,40.206,14.61,212.401,0.591,Low,Medium,High,Local Variety,Irrigated,Normal,233.21,617.57,31.401,36.406,71.106,7.095,4.727
Anuradhapura,Horowpathana,Yala,4/12/2022,4,0.73,5/9/2022,6/8/2022,RBE,Medium,6.303,119.206,17.805,225.704,0.778,High,Medium,High,Commando,Mixed,Low,252.27,657.498,26.101,29.002,70.194,7.495,6.0684
Monaragala,Buttala,Yala,4/12/2022,4,2.85,5/7/2022,6/4/2022,RYP,Poor,6.569,106.492,3.249,205.806,0.58,High,Low,High,GT 709,Rainfed,Normal,383,732.492,26.303,32.194,70.302,8.903,5.1325
Ampara,Maha Oya,Yala,4/12/2022,4,2.02,5/5/2022,6/4/2022,RBE,Medium,6.251,71.394,15.998,182.995,0.599,Medium,Medium,Medium,GT 200,Mixed,Normal,274.809,636.077,27.502,33.397,61.535,5.402,5.8478
Anuradhapura,Horowpathana,Yala,4/12/2022,4,0.95,5/12/2022,5/28/2022,RBE,Medium,6.55,39.698,15.902,194.507,0.489,Low,Medium,Medium,GT 709,Mixed,High,251.598,671.195,29.503,32.338,79.203,7.501,3.4931
Anuradhapura,Nochchiyagama,Yala,4/12/2022,4,1.63,5/10/2022,6/1/2022,RYP,Medium,6.058,24.895,7.299,152.108,0.328,Low,Low,Medium,GT 200,Rainfed,Low,127.598,717.278,28.701,30.804,63.495,8.804,2.9198
Badulla,Mahiyanganaya,Yala,4/12/2022,4,1.31,5/11/2022,6/8/2022,LHG,Medium,6.45,55.192,26.299,241.006,0.711,Medium,High,High,Local Variety,Rainfed,Low,125.002,503.792,26.9,29.652,76.095,6.272,4.1839
Ampara,Padiyathalawa,Yala,4/12/2022,4,1.688,5/2/2022,6/5/2022,RYP,Medium,6.149,83.503,14.793,94.49,0.498,Medium,Medium,Low,Commando,Irrigated,Normal,365.293,789.823,28.199,30.298,82.5,6.472,4.414
Monaragala,Thanamalwila,Yala,4/13/2022,4,1.98,5/9/2022,5/28/2022,RYP,Medium,6.352,72.706,27.594,142.791,0.669,Medium,High,Medium,GT 709,Mixed,Normal,317.697,684.995,27.896,30.299,75.297,7.723,5.5832
Monaragala,Siyambalanduwa,Yala,4/13/2022,4,2.19,4/28/2022,6/6/2022,RYP,Medium,6.87,108.2,4.607,258.092,0.67,High,Low,High,Pacific 808,Mixed,Low,167.596,658.497,29.599,34.802,65.053,7.479,6.1791
Monaragala,Siyambalanduwa,Yala,4/13/2022,4,2.38,5/11/2022,6/22/2022,Alluvial,Good,6.159,31.893,20.598,125.31,0.526,Low,High,Medium,Commando,Mixed,Normal,263.982,573.294,27.399,33.098,76.997,9.498,6.0006
